algorithm,n_text,m_pattern,case,found_index,success,comparisons,shifts,duration_us
linear,9,2,small_mid_match,3,1,5,0,0
bmh,9,2,small_mid_match,3,1,4,2,2
linear,9,2,small_start_match,0,1,2,0,0
bmh,9,2,small_start_match,0,1,2,0,0
linear,9,2,small_end_match,7,1,10,0,0
bmh,9,2,small_end_match,7,1,6,4,0
linear,9,2,small_no_match,-1,0,8,0,0
bmh,9,2,small_no_match,-1,0,4,4,0
linear,1000,10,repeated_all_match,0,1,10,0,0
bmh,1000,10,repeated_all_match,0,1,10,0,1
linear,1000,10,repeated_no_match,-1,0,991,0,12
bmh,1000,10,repeated_no_match,-1,0,100,100,4
linear,10000,10,n=1e4,m=10_rand,0,1,10,0,0
bmh,10000,10,n=1e4,m=10_rand,0,1,10,0,4
linear,10000,50,n=1e4,m=50_rand,0,1,50,0,0
bmh,10000,50,n=1e4,m=50_rand,0,1,50,0,9
linear,10000,200,n=1e4,m=200_rand,0,1,200,0,2
bmh,10000,200,n=1e4,m=200_rand,0,1,200,0,20
linear,100000,10,n=1e5,m=10_rand,0,1,10,0,0
bmh,100000,10,n=1e5,m=10_rand,0,1,10,0,14
linear,100000,50,n=1e5,m=50_rand,0,1,50,0,0
bmh,100000,50,n=1e5,m=50_rand,0,1,50,0,8
